season_max,include_ot,include_blocked,close_cut,dist_control,fe,cluster,trim_last,n,slope,se,p,ame_pp,ame_p,ok
2023,False,False,4,quad,000,game_id,0,23580,0.04441231712297138,0.020912066772491838,0.03368979250804838,0.5251321962093127,0.030753070614347955,True
2023,False,False,4,quad,000,game_id,60,22828,0.0022628502069673992,0.027862162521772076,0.9352702662810726,0.02366358640232852,0.9352267066940316,True
2023,False,False,4,quad,110,game_id,0,23580,0.045583050941107366,0.021109118791946425,0.03081907511707893,0.5196990523600613,0.028159256165785962,True
2023,False,False,4,quad,110,game_id,60,22828,0.009381163271980011,0.028277822086366283,0.7400781544666111,0.09516088573625892,0.7394346719157461,True
2023,False,False,4,quad,111,game_id,0,23580,0.047272372021807764,0.02138894807201881,0.027096088731865864,0.5359414480972786,0.024633245193685482,True
2023,False,False,4,quad,111,game_id,60,22828,0.010757265848865945,0.028768800178633855,0.7084629029243938,0.10863664343833969,0.7076913671358223,True
2023,False,False,4,cubic,000,game_id,0,23580,0.03784590119393729,0.02093744641349717,0.070673442101723,0.44482107365503165,0.06680795188300159,True
2023,False,False,4,cubic,000,game_id,60,22828,-0.0002764399094610107,0.027838188550029525,0.9920769445757263,-0.002899032723774791,0.9920776026127403,True
2023,False,False,4,cubic,110,game_id,0,23580,0.03838960177106861,0.021143479098872372,0.06942085564754308,0.43457594441898395,0.06584180701269537,True
2023,False,False,4,cubic,110,game_id,60,22828,0.006853479033373239,0.028308460351915234,0.8087026567923372,0.06965808452042276,0.8083557383124489,True
2023,False,False,4,cubic,111,game_id,0,23580,0.04008215082559827,0.021421532894980066,0.06132914742497131,0.4512071373339711,0.057938761600270006,True
2023,False,False,4,cubic,111,game_id,60,22828,0.008285884875906039,0.028779587417585767,0.7734168591751469,0.08386022827776854,0.7729512257665132,True
2023,False,False,7,quad,000,game_id,0,23580,0.04657256063290064,0.018077176981480203,0.009985869353064558,0.5285861330619513,0.008698029123735518,True
2023,False,False,7,quad,000,game_id,60,22791,0.012738179518541917,0.023199691476722316,0.5829596330774927,0.1312012434715685,0.5813661519736371,True
2023,False,False,7,quad,110,game_id,0,23580,0.04712044663747739,0.018380641902621446,0.010359556485595833,0.516815918646654,0.009067777356605689,True
2023,False,False,7,quad,110,game_id,60,22791,0.017168224065585058,0.023647240194535003,0.4678302756187369,0.1717261139503116,0.46540756482025203,True
2023,False,False,7,quad,111,game_id,0,23580,0.04864565232030628,0.01860820568701469,0.008943552587795223,0.5303681167780233,0.007778941916132487,True
2023,False,False,7,quad,111,game_id,60,22791,0.018427984998066967,0.023959123795505455,0.4418086060295403,0.18334792347276882,0.4392318108912401,True
2023,False,False,7,cubic,000,game_id,0,23580,0.04127188247828249,0.01808936022343863,0.022515586147903388,0.46694559487845566,0.02047023070712295,True
2023,False,False,7,cubic,000,game_id,60,22791,0.011438194920797139,0.02317403911994589,0.6216042703432876,0.11820910625633188,0.6202666487382089,True
2023,False,False,7,cubic,110,game_id,0,23580,0.04122500110100268,0.0183955719845168,0.02502422893791012,0.45046864036435896,0.022930557362216053,True
2023,False,False,7,cubic,110,game_id,60,22791,0.01578724286722867,0.023634133469199254,0.5041432695009442,0.15842315350316266,0.5020166820733474,True
2023,False,False,7,cubic,111,game_id,0,23580,0.04278743996989187,0.01862281883833722,0.021585632036322133,0.4647649139621503,0.019672037450494395,True
2023,False,False,7,cubic,111,game_id,60,22791,0.017151931416623283,0.02393575384447379,0.4736320270942622,0.1712214309974536,0.4713127636363472,True
2023,False,False,9,quad,000,game_id,0,23580,0.04114403848046369,0.017351631183640706,0.01773084693749949,0.46300222063552804,0.015921860681710864,True
2023,False,False,9,quad,000,game_id,60,22772,0.0033263760099317696,0.022088707877772028,0.8802978113120439,0.03415497466078176,0.8801657650060843,True
2023,False,False,9,quad,110,game_id,0,23580,0.042241455814051455,0.017768201739217903,0.017436944436539648,0.45914570600113713,0.01562892097379831,True
2023,False,False,9,quad,110,game_id,60,22772,0.007779653389538309,0.022705672087987877,0.7318765330191943,0.07745691815030646,0.7312239705654,True
2023,False,False,9,quad,111,game_id,0,23580,0.04397720819116729,0.017979185376734253,0.014444830949493781,0.475116374915455,0.012841916849713142,True
2023,False,False,9,quad,111,game_id,60,22772,0.009914323832381763,0.02297525126746553,0.666088940157505,0.09813953892598666,0.6651091870897099,True
2023,False,False,9,cubic,000,game_id,0,23580,0.03610739627898019,0.017356062341070393,0.03748968203363767,0.40538794196345057,0.03484932807015251,True
2023,False,False,9,cubic,000,game_id,60,22772,0.0020895501388030722,0.022049663499046957,0.924500991365236,0.02153403136595266,0.9244477446411838,True
2023,False,False,9,cubic,110,game_id,0,23580,0.03661632989759994,0.017776570917610077,0.03941686231607022,0.39686517043191316,0.03671896213407866,True
2023,False,False,9,cubic,110,game_id,60,22772,0.006447989078618217,0.02267686525045518,0.7761481720583381,0.06442507976523688,0.7756908108841245,True
2023,False,False,9,cubic,111,game_id,0,23580,0.03839442179437853,0.01798974555334278,0.0328231979414817,0.4136046292512867,0.03037250609861397,True
2023,False,False,9,cubic,111,game_id,60,22772,0.008662649962351356,0.02294107746587798,0.7057245548189894,0.08605765820620137,0.7049571027033881,True
2023,False,False,10,quad,000,game_id,0,23580,0.04109024053036582,0.01618458933295069,0.011121757644152908,0.45649724892484705,0.009877363638828074,True
2023,False,False,10,quad,000,game_id,60,22713,0.016232904783899466,0.02040166019041013,0.42622626717799394,0.1659133227725356,0.42364849235340873,True
2023,False,False,10,quad,110,game_id,0,23580,0.042123690383262274,0.016617843336632476,0.011249644728485109,0.4523827897824984,0.009989441264945276,True
2023,False,False,10,quad,110,game_id,60,22713,0.020555589836870183,0.020973439329514707,0.32704800931261424,0.20397121347372715,0.3237873737386878,True
2023,False,False,10,quad,111,game_id,0,23580,0.04387766778192953,0.01682162194632682,0.009096423068782666,0.46832645258255207,0.008001378350750432,True
2023,False,False,10,quad,111,game_id,60,22713,0.022609190000185977,0.02119111661504617,0.28600873283953043,0.2230075463352854,0.2825084062379122,True
